_id,name,specie,gender,breed,weight,birthDate,chipNumber,photo,owner,favoriteVets
f6e70691-0606-475b-842d-05cc462de7f5,Max,perro,macho,Shih Tzu,31.3,08/03/2019,206584281734950,,,
13d4c403-d980-4ac5-bfb7-669cdcd8c774,Rocky,perro,macho,Dálmata,30.7,20/03/2019,863175402967138,,,
3f827b1c-6e4e-4082-9e09-31ee3d6092d5,Bruno,perro,macho,Samoyedo,37.8,19/04/2018,194357608291045,,,
a1c852ed-faf1-4761-8404-bbec2d19c829,Luna,perro,hembra,Mestizo,6.7,26/05/2017,725091384678201,,,
17760d6b-86b3-4e6b-a7d9-ec941a209e88,Nala,perro,hembra,Beagle,47.3,26/04/2016,451963720854297,,,
f0903260-f149-4ccc-8ccc-910013b4e4c4,Toby,perro,macho,Beagle,2.4,28/03/2016,930812547690382,,,
3efb1415-7696-4762-af61-9ac2490a259b,Kira,perro,hembra,Setter Irlandés,14.5,07/07/2016,587120693456719,,,
af32aedd-f1df-46b2-bad6-e2ad20c1cc6b,Zeus,perro,macho,Bulldog Francés,33.1,23/05/2025,312497850623145,,,
e0a4d5dc-dac7-4ba6-9c98-5a6b8170702f,Molly,perro,hembra,Beagle,38.9,28/12/2020,678901234567890,,,
0792b769-e290-4009-b552-11a430fccdeb,Zoe,perro,hembra,Rottweiler,24.2,28/05/2020,12345678901234,,,
fb3d25f4-fd68-43f4-ae23-00bc00d2cf0f,Canela,perro,hembra,Boxer,2.2,26/10/2018,105792346801235,,,
e3b1e3a4-dfe1-44d2-940b-ae61a6f7e187,Gala,perro,hembra,Bulldog Francés,7.3,31/05/2023,890123456789012,,,
3db5b29e-1df4-4234-bfe9-5d8d28476e64,Leo,perro,macho,West Highland White Terrier,19.5,18/04/2016,345678901234567,,,
3def9db9-557b-4d90-977c-4c47d852bdb3,Frida,perro,hembra,Schnauzer,19.7,31/07/2018,789012345678901,,,
b7a93a7f-a14d-4822-8b48-e8b8ca2ad7b3,Laila,perro,hembra,Caniche,9.2,10/12/2017,12345678901235,,,
2d86e988-5c0c-4bdc-ad91-0eb7c04039e3,Kiara,perro,hembra,Boxer,33.1,20/03/2025,123456789012345,,,
2aaa9b3c-c9ae-4d97-8dc5-9a53715267ac,Estrella,perro,hembra,West Highland White Terrier,21.7,20/05/2016,678901234567891,,,
8cf9d5f6-c743-4e3b-a49e-8fe24b7e8906,Abril,perro,hembra,Chihuahua,39.3,04/11/2017,234567890123456,,,
703642db-d56f-4734-bf96-9e0d547bd8e2,Coco,perro,macho,Bull Terrier,14.6,20/04/2021,567890123456789,,,
3bc5395a-2cd1-472b-b1be-5fd1e53c32f3,Balu,perro,macho,Pointer,20.2,25/08/2023,901234567890123,,,
98ea8e4d-b998-43d8-8e65-a9fe99543f39,Arya,perro,hembra,Pug,45.6,07/06/2017,456789012345678,,,
7a4e56c6-f370-485d-9b9d-b8cc00e61626,Bella,perro,hembra,Gran Danés,46.6,03/11/2015,789012345678902,,,
bf1c5c4f-fb5d-49c5-93b4-01e56f4908c2,Tana,perro,hembra,Husky Siberiano,26.4,30/12/2024,12345678901236,,,
652471b2-4a0d-426d-8100-6cfac57edb7a,Simba,perro,macho,Chihuahua,31.5,09/09/2021,123456789012346,,,
9b0675c6-4c70-4b16-a5c1-7b3211683549,Nina,perro,hembra,Galgo,32.1,31/07/2016,890123456789013,,,
c8e6d693-495e-43d0-9c6a-b4bb485ebcb1,Dante,perro,macho,Labrador Retriever,33,30/09/2016,345678901234568,,,
91eef023-1d42-4db5-b019-20f318273ee6,Laika,perro,hembra,Pomerania,47,21/04/2018,789012345678903,,,
10d51213-d37e-4548-b658-ffa65cfa1ce5,Mía,perro,hembra,Rottweiler,44.3,06/05/2018,12345678901237,,,
6738c8bb-f774-4ba5-9866-c40be1e59d79,Vera,perro,macho,Golden Retriever,23.4,12/09/2022,123456789012347,,,
164ce76a-e7db-482e-abb5-bcc12570deef,Sasha,perro,macho,Pointer,14.8,01/08/2022,678901234567892,,,
676b93b2-469d-4a50-aa5b-b87d3bba6e08,Alma,perro,hembra,Schnauzer,43.3,25/02/2024,234567890123457,,,
90a49cda-e69d-4208-a649-a1a3b3aa066a,Oliva,perro,hembra,Pointer,45.1,09/01/2019,567890123456790,,,
2b0f7779-2e33-420d-ae6e-35514f01e9a2,Duna,perro,hembra,Yorkshire Terrier,15.9,03/02/2023,901234567890124,,,
037119fc-4b75-43ec-ab57-d81086cf0747,Sol,perro,hembra,Bull Terrier,21.6,05/03/2016,456789012345679,,,
b0ae0e39-7ca1-41b1-b3e8-2c3fd595eaa9,Brisa,perro,hembra,Husky Siberiano,40.4,26/04/2017,789012345678904,,,
4b32f9c7-e528-40e5-b9ca-a303c6185f16,Uma,perro,hembra,Pointer,26.1,20/12/2015,12345678901238,,,
a5b88166-4c63-400e-ba65-27e1be03422f,Cloe,perro,hembra,West Highland White Terrier,22.3,17/05/2023,123456789012348,,,
c02c2a14-8553-47b7-9279-1cebe2801753,Rex,perro,macho,Labrador Retriever,21.7,14/10/2016,678901234567893,,,
50e94e75-52d4-4bbb-baf7-b6f8538a110b,Marley,perro,macho,Samoyedo,40.5,30/03/2023,234567890123458,,,
7ec81c15-133f-470d-9e85-b3bfb1d5cdd2,Iris,perro,hembra,Gran Danés,27.5,24/10/2024,567890123456791,,,
f8091069-62cf-438d-b0cc-4579f04b434d,Pipa,perro,hembra,Chihuahua,19.8,25/07/2017,901234567890125,,,
fc79dc26-b32e-4b0c-ae23-63202d4936d4,Jack,perro,macho,Bull Terrier,4.1,25/04/2020,456789012345680,,,
d9bf23ac-d861-43e0-a5c8-f87df1b7900a,Gala,perro,hembra,Pastor Alemán,49,09/11/2023,789012345678905,,,
31ece1e6-8f93-4de8-8932-f8dc19fc93a2,Kenzo,perro,macho,Labrador Retriever,22.7,10/07/2019,12345678901239,,,
963633e2-812a-439f-8c1c-3ce7ba3d40fb,Nina,perro,hembra,Bulldog Francés,34.2,22/12/2017,123456789012349,,,
5a79d093-5f8c-4689-b07d-a450f3ac8d53,Laika,perro,hembra,Gran Danés,2,14/08/2018,678901234567894,,,
0fb730de-2701-40e3-b9cd-7a1bae0e2b5d,Mía,perro,hembra,Pointer,5.4,19/10/2018,234567890123459,,,
5394a15a-e22d-4728-a8d7-6ade68eca5e0,Vera,perro,hembra,Rottweiler,42.2,11/04/2023,567890123456792,,,
8aa0fbda-0a84-467a-919b-a0de503b1efa,Sasha,perro,hembra,Border Collie,47.4,23/01/2025,901234567890126,,,
76b16739-aac4-4345-b20c-0d55d994722f,Alma,perro,hembra,Shih Tzu,39.3,19/05/2021,456789012345681,,,
2e22729f-2c37-4bd2-ad3e-2fe94d141ac3,Hugo,perro,macho,Rottweiler,20.2,29/06/2017,789012345678906,,,
c02753cc-1a5e-412f-a686-e546db6ede4b,Oliva,perro,hembra,Pastor Alemán,23,19/11/2019,12345678901240,,,
ae53e14e-5a3b-4130-9118-fa86923fc0b3,Chester,perro,macho,Beagle,14.6,01/08/2018,123456789012350,,,
3648723b-ae97-4bce-9275-613ed53c4de4,Nico,perro,macho,West Highland White Terrier,13.7,02/06/2019,678901234567895,,,
39da3c2e-94bc-42da-b569-4aa56a77190d,Lucky,perro,macho,Mestizo,35.4,23/04/2022,234567890123460,,,
b0bafc61-eccf-4e29-a5da-015f41c131cb,Duna,perro,hembra,Golden Retriever,14.6,23/02/2024,567890123456793,,,
5c7a2490-e1d3-465a-97e5-bd1fc3e5a4eb,Sol,perro,hembra,Pomerania,5.4,19/05/2018,901234567890127,,,
83bae3b8-a84c-4127-91b0-88cc7e8f7e73,Bosco,perro,macho,Husky Siberiano,6.7,07/05/2022,456789012345682,,,
2642a282-225c-4b3a-8531-2fd7d468a3cd,Bento,perro,macho,Bulldog Francés,36.8,12/01/2018,789012345678907,,,
828d171e-d373-4f41-8887-b968d98956f3,Brisa,perro,hembra,Shih Tzu,42.4,03/12/2022,12345678901241,,,
a5371cfe-724f-4ebc-8187-faa315e2abe7,Isis,gato,hembra,Persa,3,24/05/2024,123456789012351,,,
134ad1ba-0cae-44ba-82e8-6e3118b2b689,Tom,gato,macho,Siames,13.8,25/08/2020,678901234567896,,,
ea6694f6-d92b-4f92-8d6d-9ffe18c297e1,Arya,gato,hembra,Persa,42.3,26/12/2017,234567890123461,,,
29bfeca8-d7ba-4338-8ff9-a699a5bee53a,Nube,gato,hembra,Abisinio,30.2,24/05/2022,567890123456794,,,
12b75a18-e5c8-43dd-95a6-d35f8fe1ce10,Pelusa,gato,hembra,Oriental,42.5,04/08/2015,901234567890128,,,
d4a9cd2b-e236-42c6-a106-8db4a4cab6b8,Felix,gato,macho,Persa,9.9,06/02/2021,456789012345683,,,
30b3ca79-1a6e-4b35-a5ba-eafd4e7360ee,Venus,gato,hembra,Persa,9.6,03/06/2020,789012345678908,,,
0613d17b-b95b-4b68-a4fa-46b5ea6f25eb,Tigre,gato,macho,Europeo,41.1,07/12/2021,12345678901242,,,
2a2fae18-2e17-461f-9ada-eb4527ace83a,Misha,gato,hembra,Europeo,14,27/08/2022,123456789012352,,,
38b9cf07-599e-467a-8e18-ec3d59ece7fb,Moka,gato,macho,Oriental,31,25/07/2017,678901234567897,,,
d14d72e5-d750-4b8d-a527-18aa7615847a,Salem,gato,macho,Siames,3.3,08/10/2024,234567890123462,,,
a872e806-7982-4d4a-ad8d-67688c4e73e2,Hugo,gato,macho,Persa,44.9,21/12/2022,567890123456795,,,
be60a712-d4e1-4cad-8cf9-7ffcebed46ea,Silvestre,gato,macho,Siames,40.8,08/05/2022,901234567890129,,,
7b787a39-76db-4886-9979-89abf2a7d288,Oreo,gato,macho,Sphynx,31.2,21/11/2022,456789012345684,,,
81d0a174-d889-457f-8e02-73889ef0c045,Copito,gato,hembra,Persa,26.7,09/02/2022,789012345678909,,,
6b99e2fd-30c6-4fd7-ac60-6aa3c0fb6360,Cosmo,gato,macho,Europeo,24.9,20/10/2017,12345678901243,,,
86339136-b023-46cf-9def-72d93f623396,Bimba,gato,hembra,Manx,48,24/02/2016,123456789012353,,,
81b6cfb3-3bb0-44f6-abc3-57e63d277c26,Lúa,gato,hembra,Sphynx,9.4,17/01/2023,678901234567898,,,
572ca1aa-89ed-4bfe-88ca-6155e44ef92d,Noa,gato,hembra,Bengala,40.4,13/05/2022,234567890123463,,,
c8b45f10-062d-4ff9-b320-98b03a4eaa55,Minina,gato,hembra,Sphynx,46.9,05/01/2025,567890123456796,,,
7d43d88f-7d98-4a8b-96ff-dc6fac050666,León,gato,macho,Oriental,20.6,15/07/2019,901234567890130,,,
b843c379-106a-4e2e-a13f-962b6b84396a,Draco,gato,macho,Manx,33.1,12/03/2022,456789012345685,,,
cc077fd8-aedd-4a70-bf24-d19fc579cc51,Cereza,gato,hembra,Savannah,13.2,04/05/2022,789012345678910,,,
ab0c442f-0ed4-43da-8684-91d65ff79763,Pancho,gato,macho,Abisinio,25.1,13/12/2023,12345678901244,,,
8806075b-bebd-492f-be5a-9d37bd6989be,Mía,gato,hembra,Sphynx,37.9,26/09/2020,123456789012354,,,
d3a307d8-defc-49a4-a9e5-4ed34c041ef4,Spike,reptil,macho,Salamanquesa común,49.6,23/02/2019,678901234567899,,,
75b6ab4a-c830-4980-912d-4597ab62b150,Ivy,reptil,hembra,Salamanquesa común,18.8,02/01/2021,234567890123464,,,
a90a443c-cb90-4b1f-99e9-8fc169171bc3,Cleo,reptil,hembra,Culebra de escalera,9.4,22/01/2020,567890123456797,,,
625f51fa-89db-4628-a44e-c691f121374f,Sombra,reptil,hembra,Lagartija ibérica,23.6,12/01/2020,901234567890131,,,
89392572-79d3-429b-914d-3a1b47354508,Rex,reptil,macho,Lagartija ibérica,11.8,14/12/2023,456789012345686,,,
c4958588-2dcd-4d52-9fe3-3ef44e9c84ce,Luli,roedor,hembra,Ratón casero,38.2,09/06/2022,789012345678911,,,
5dd9cd32-fc2c-4174-9d39-44b1b8b80340,Chiqui,roedor,hembra,Ratón casero,39.4,10/08/2023,135792468013579,,,
5570fb53-a3dd-4dca-8463-2f67f4bfd2f9,Pimienta,roedor,hembra,Ratón casero,47.4,20/02/2018,246801357924680,,,
28a8afca-6cd0-4bef-8aed-946ec126cdd5,Nino,roedor,macho,Topillo mediterráneo,37.7,17/11/2015,357912468035791,,,
665dd3f8-0748-4dfe-b5e5-7fe77386fe21,Gus,roedor,macho,Ratón casero,19.1,10/08/2021,468023579146802,,,
383a21a9-0263-4fca-91d4-c823c9a60c8a,Lola,roedor,hembra,Rata parda,18.7,23/09/2017,579134680257913,,,
8018e9ce-0ec5-492c-9825-f5455c392e39,Meli,roedor,hembra,Topillo mediterráneo,26,01/01/2023,680245791368024,,,
31473e2c-f338-411e-8a3a-5d1d57cba5e4,Chispa,roedor,macho,Topillo mediterráneo,20.4,27/01/2025,791356802479135,,,
6299b52d-c5d0-4bd6-8a26-b9757adb35f8,Violeta,roedor,hembra,Lirón careto,6.2,11/10/2022,802467913580246,,,
fbfe611d-ade2-45e7-ade0-f942dcfce24f,Luli,roedor,hembra,Lirón careto,8.5,20/03/2024,913578024691357,,,